"HIBP Integration","HIBP Integration"
"Storefront","Storefront"
"Display warning message if password is pwned","Display warning message if password is pwned"
"Required new password to be unpwned","Required new password to be unpwned"
"Admin","Admin"
"Display warning message if password is pwned","Display warning message if password is pwned"
"Required new password to be unpwned","Required new password to be unpwned"
"Configuration","Configuration"
"Given password is pwned, please enter different password. Learn more <a href=""https://haveibeenpwned.com/Passwords"">here</a>.","Given password is pwned, please enter different password. Learn more <a href=""https://haveibeenpwned.com/Passwords"">here</a>."
"Your password is pwned. Learn more <a href=""https://haveibeenpwned.com/Passwords"">here</a>.","Your password is pwned. Learn more <a href=""https://haveibeenpwned.com/Passwords"">here</a>."
"Given password is pwned. Learn more <a href=""https://haveibeenpwned.com/Passwords"">here</a>.","Given password is pwned. Learn more <a href=""https://haveibeenpwned.com/Passwords"">here</a>."
